Description,GroundTruth,Ratings,Review Date,Review Title,Site
"We came here on a recommendation and we're glad we did because the food was brilliant!So fresh all proper Italian awesome flavors fresh ingredients amazing wine selection lovely service in a cozy place. 
If you don't go you are missing out!",positive,5,19-Dec-17,A gem in Larisa.,
"I had a lunch on Sunday afternoon and it was really great. The food was very good and the restarant's atmosphere excellent. Bisteca Fiorentina is my favorite, but pasta was also very good. I recomend it for sure.",positive,5,8-Dec-17,Best choise in the city,
Nice atmosphere very nice food.it is in a very beautiful square on the top of the city of Larissa and it's quite,positive,5,6-Dec-17,Πολύ καλο φαγητο,
"I totally recommend this restaurant!Delicious food ,good wine, friendly atmosphere ,the perfect place to have dinner with my friends.Reasonable prices.",positive,5,20-Nov-17,The right place to be!,
"The restaurant is on a hill where they have found also the ancient theatre going back to the 3rd century BC, also the place is very pleasant during the summer nights because is at an elevation where you could feel some wind blowing. It gets...More",positive,5,5-Oct-17,Visiting my home town,
"It's one of the fanciest in Larissa, though without forbidding prices. Nice Italian cuisine, good wines and service, and nice romantic atmosphere.",positive,4,3-Oct-17,Fancy place to dine,
"Nice, tasty food, creative and nicely decorated dishes. Very nice location. We have been there more than once, and everything we have had was perfect. Very friendly and polite staff, good music. Good variety of wines. Very reasonable prices.",positive,5,9-Aug-17,Very nice and tasty food.,
We have ordered a few different picas and all was delicious. Waiters are not so fast but choice of music was perfect. Restaurant is very close to the park.,positive,4,14-Jul-17,Nice picas,
"Nice dishes, reasonable prices, great Italian cousine! We tried spaghetti and pizza and excellent moschato d'asti!",positive,4,14-Jun-17,Very good quality,
"The location is nice, next to a small shadowy park. Service is fast and friendly, the chefs show creativity and offer tasty and nicely presented dishes. We had an iceberg salad with dried tomatos, grilled manouri cheese and apple slices, grilled sea bass with bearnaise...More",positive,4,6-Jun-17,Tasty Italian cuisine,
"Nonna Rosa is a very nice place to hang around. This was a rainy day and we had an indoors table but I guess it will be even better in a good day when you can sit outside. However, the tables with the stools are...More",negative,3,28-May-17,Nice place but.....,
"The best in Town!!! Family friendly, clean, tasty food, excellent and fast service. Definitely recomended....",positive,5,22-Jan-17,Family friendly,
"I come there with a friend for lunch, I took a dish of carbonara, while he took a ""Fiorentina"" meat. Both dishes were very tasty, and also the staff was very kind. I will return there!",positive,4,17-Jan-17,Very nice and tasty lunch!,
"Good service with adequate attention to detail! Nice place amazing restrooms, really clean all over! On the dishes side good Italian pasta with some Greek  touches! Menu quite big so need to revisit for meat/pizzas! A definite recommendation for the city!",positive,4,24-Dec-16,Nice Italian in Larisa,
"Nice place, decent italian food, pet friendly, but in certain tables, average prices. Crowded during weekend evenings, better make a reservation. Food OK, polite and friendly staff, centrally located, no easy parking options, if possible go on foot.",negative,3,15-Nov-16,Italian bar-restaurant in Larissa ,
Very good restaurant with Italian dishes. Place is nice particularly in summer when you can eat outside.,positive,4,8-Nov-16,Good restaurant Italian style,
"If you fancy a T-bone steak or just a nice filet mignon this is the place. The meat was tender and tasty. I had the filet with white mushroom sauce which was great. My mom had I think was number 80 on the menu, had...More",positive,5,2-Nov-16,Italian/Pizza restaurant ,
"We had our first dinner here and left satisfied.  The dishes were good, although not top, and the staff friendly. Overall it was a good first impression in Larissa.",positive,4,28-Oct-16,Nice first dinner in town,
"Traditional food of Nonna in this restaurant, get a warm  welcome and be amazed by the original decoration, all is very delicious; Every day fresh produce from the Nonna, and all is homemade.; you will like to return if you are in this region.",positive,5,2-Oct-16,Nonna Rossa /  Larissa,
"It is the top choice for a relaxing glass of wine after a hot summer day. It is situated at the Frourio hill. Ideally visit it a little before the sunset and choose one of the side tables, they are quieter, better for drink only...More",positive,4,1-Sep-16,Very good for a relaxing drink ,
"one of the best outside environments in Larisa.
good value for money.
modern indoors set up. friendly staff.",positive,4,23-Aug-16,environment and value,
"The place is always full of people, particularly the outdoor area. Nice place for gathering with friends. Service was quite quick, even though our group was big (14 people). Delicious pizzas and salads. Loved the cocktails. Ambrosia was super delicious.",negative,3,21-Aug-16,Hallo Italia!,
"Had a quick lunch stop there. Nice pizza and nice deserts.
The place is modernly designed. But nothing special about it",negative,3,17-Aug-16,Nice pizza,
"Nice location, okay prices and nice italian food. Sometimes it's very very crowded and it takes long to get your food. However service is nice and polite and food always served warm and nice ! Good restaurant to enjoy your food!",positive,4,16-Aug-16,Best Italian Food in Larisa,
"We decided to visit Nonna Rossa after some friends' recommendations. 
When we arrived, we waited to be seated....for more than 20 minutes without anyone telling us anything about the wait time! In the meantime we could clearly see and hear people without any reservations coming...More",negative,2,13-Aug-16,"Favour owner's friends, ignore the rest!",
A nice place with descent Italian food. The service was a bit slow. No change to try the desserts while in other places in this area they always offer you something after you finish your meal,negative,3,6-Aug-16,Great location,
"The location is great in summer, plenty of space for kids, good service, the food has good quality but average taste and definitely over paid.",negative,3,5-Aug-16,"Great location in larisa, bit expensive",
Amazing location. Great menu consisting mostly of Italian dishes. Wonderful desserts. Great choice overall!,positive,4,2-Aug-16,Very Good!,
"I would consider it the best italian restaurant in Larisa. If you love italian food, great atmosphere and good service, you should pay a visit.",positive,5,26-Jul-16,Italian food yummy!,
Excellent quality in very good price. I can suggest it for sure. Excellent beef and very good gnocchi. I suggest the salad with pineaple,positive,5,13-Jul-16,Very good,
It was a pleasant surprise this italian restaurant. The location is perfect even for a warm day. The food is more than average. The quality is good and the food really tasty! The only bad thing is that the service was a little slow...,positive,4,23-Jun-16,A nice hotel in Larissa!,
"Nonna Rossa is a great place to sit and relax outside or inside and listen to the sounds of birds chirping in the trees and softly piped jazz and blues music.

It is located on the hill (Acropolis) of Larissa surrounded by a tree filled...More",positive,5,9-Jun-16,"Nonna Rossa Cafe, Bar and Restaurant",
"Good pasta with nice salsa 
Delicious pizza mozzarella 
Cozy place to be!!
Waiters are funny
Have to try it",positive,5,17-May-16,Pasta e basta ,
Truly my favourite restaurant so far.. I really enjoy being there! Delicious food and a beautiful restaurant. Staff is very nice!,positive,5,12-May-16,My Favourite Restaurant ,
"We were concerned going to an Italian restaurant in Greece following the visit I must say it was by far better than the last south Italian culinary experiences we had. Great atmosphere, very professional staff, the wine was good and it was a first surprise...More",positive,5,4-Feb-16,One of the best,
"Delicious food, great atmosphere, nice people, kind and helpful staff! A great place for Italian food in Larissa.",positive,5,24-Dec-15,My favourite!!!,
"The old city center area (Frourio Hill- the ramparts) is being remodelled, with extensive pedestrian areas created, making the ruins of the hill and the town cathedral a center stage for city night life. This restaurant benefits of the new plaza situation, being located in...More",negative,3,12-Nov-15,City Center Regenesis...,
"Visited the restaurant on a Saturday afternoon. The place was busy with a nice atmosphere. We’ve ordered a salad, a pizza, a risotto and a salmon dish that came with pasta, a tiramisu and a cream brulee. The risotto was excellent, pizza was real Italia...More",positive,5,8-Nov-15,Real Italian pizza!,
"Up on Frourio hill in Larissa - on one side is cathedral of Saint Achileon and on other the ancient ruins of Roman agora and down the hill is Alcazar Park  Nonna Rosa is there, nicely decorated, modern slick style - interesting cork ""art"" decorations,...More",positive,4,4-Nov-15,Good Italian - wood oven pizzas,
The restaurant is located in front of a park so the view (and quiet) is a nice amenity. The staff is very polite and the food is excellent.,positive,4,24-Aug-15,Nice restaurant,
A very modern and friendly restaurant which is located in the old town! The food is very good! Also the pizza is excellent,positive,4,25-Jul-15,Verry good ,
"Amazing atmosphere, lovely food, reasonable prices, perfect location, right between the city's main church, the old turkish indoor market, some roman ruins and a breath from the ancient theatre... A real gem you shouldn't miss if you are around!",positive,5,13-Jul-15,In a Word Excellent!,
A really elegant restaurant on the hill of the city. Spotted at a very beautiful location. The prices are great and the staff very very friendly. I would insist it for sure!,positive,5,6-Mar-15,The best food in town! ,
Best restaurant in Larissa by a mile! Highly recommended to anyone who is after a variety of great Italian food along with all round great atmosphere!!!,positive,5,28-Feb-15,Best restaurant in town,
"Best italian restaurant with a good vibes , clean ; the service is perfect ; the salads  are amazing ; Pasta is one the best have eaten ;",positive,5,20-Feb-15,excellent,
This restaurant is a little bit dearer than others but the food is lovely. Salmon and vegetables 13 euro and pastas and pizzas below 10 euro. Service is average or it would have received an excellent rating.,positive,4,6-Aug-14,Great food,
"Excellent atmospheric environment with very good staff and owners.
It's worth a visit to enjoy the food, music, the people of Larissa.
The restaurant is located on the best point of the city and a walk before or next the food will be enjoyable and...More",positive,4,24-Jul-14,Of my family favorite,
"Went there while visiting family in Larissa and must admit we had a great time there! The food was very good, service was excellent and staff were extremely helpful and friendly. We ate there 2 nights in a row and will definitely visit again when...More",positive,4,7-Jul-14,Best Restaurant in Larissa,
"I had my first official date there. It was very fancy, with gourmet Italian cuisine. The service was very good and the food came in big portions, while it was very tasty as well. I fully recommend it.",positive,4,23-May-14,"A nice, chic restaurant.",
"This is the place to eat a very good italian meal, with a nice staff and background music. You can eat inside or outside depending on the weather. You will not be disappointed !",positive,5,26-Mar-14,A good meal in a good atmosphere,
The place is situated on top of a hill near the centre of Larissa. The decoration is not the one you expect from an Italian restaurant but very new-age and stylish. We tried several dishes and all of them were pretty good but safe-played. These...More,positive,4,26-Mar-14,"Nice, stylish modern Italian restaurant on top of the hill.",
The Service Need improvement the prices are expensive But the Food is gut and the wine is gut the Boss is always there and the Leader of the Restaurant  is very nice,positive,4,28-Aug-13,Nice Place,
I visited nonna rossa a lot of times and i always enjoy it!The hostess was very kind and helpfull!Well cooked snacks and food and reasonable prices!,positive,4,10-Jul-13,"NICE PLACE FOR A DRINK OR A SNACK,GREATE ENVIRONMENT!",
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
"Food is an experience, unique for the Larissa city. Very professional service, hospitality to the best. The food is cooked with top ingredients that you can feel and sense them. Overall a must for the people who seek quality taste away from the stereotype Greek...More",positive,5,2-Jul-20,Wednesday night food experience,
"first of all is something different for the city, something unique, i guess that is the first restaurant that the food is in high level. all the flavors is different and easy to understant them. very well cooked and i had the opportunity to meet...More",positive,5,9-Mar-20,fantastic!,
Great place to visit and taste high gastronomy food. Value for money and the service was excellent.See you soon Monark.,positive,5,29-Feb-20,Υψηλή γαστρονομία στη Λάρισα,
"Perfect food! Perfect atmosphere! I loved the barman, he was very sweet and kind! He was very helpful about my decision for food! I will come again for sure!",positive,5,28-Feb-20,Monarch food,
"We tasted some of the most inspired combinations and textures. The menu is compact and serving all tastes, including fish and vegetarian options. The tartare was complex and super tasteful, as well as the sea-bass ceviche and the best quinoa salad. Very wide wine &...More",positive,5,17-Feb-20,Excellent!,
"A gastronomy adventure not to be missed. The fresh ingredients partnered with exquisite combinations create an explosive journey that one only wishes to relive.
Congrats to the whole team for bringing these flavors to our city.",positive,5,24-Jan-20,Majestic Flavors,
"The food is delicious with fresh ingredients and unique dishes. Everyday they make their own home made pasta in the kitchen. A must try dish is the beetroot salad, the salmon and the gnocchi with truffles, parmesan and mushrooms. The  desserts are inspired and the...More",positive,5,24-Jan-20,*The  new hotspot in town *,
"please come and see, really good food and taste.
Industrial environment with cosy feeling around the space",positive,5,12-Jan-20,Delicious,
The pork has heavily overcooked and dry in this place. But the worst part is that this is so far the only place in Larissa that does not enforce the smoking ban. I'm sitting there eating with my pregnant wife and suddenly the table next...More,negative,1,28-Feb-20,Overcooked and careless,
Unique ambient. Specific interior decoration. Great food (meat in a clay pot). Would love to come again.,positive,5,9-Feb-20,Great in every way,
"Gorgeous envinroment, very friendly service and mouthwatering dishes. I strongly suggest it to anybody that visits the beautiful city of Larisa. First choice for my next visit.",positive,5,5-Feb-20,Kostas R.,
Tasty menu and well prepared meals. Very relaxing environment with friendly stuff. À LOT to choose from the menu. Great for spring thete is a back garden.,positive,5,20-Dec-19,Tasty menu,
"Best restourant in Larissa.
Big portions and good prizes.
The waiters are amazing, very kind and professional.
The menu changes every day and there is a big variety of things you can try (not only chicken and pork souvlaki as in a lot of restourants)....More",positive,5,21-Oct-19,Best restourant in Larissa,
"I was in Larisa for about 4 months and once a week my group of students and I used to go to eat there. the food is fantastic and different., 
love their salad.",positive,5,10-Oct-19,fantastic food and great atmosphere,
I was 4 months in Larisa with a group of students and we use to go once a week to the restaurant. the food is great very different.,positive,5,10-Oct-19,very good food and lovely atmosphere,
"I’ve been there with my colleague and We spend a delicious dinner.
After ordering to the very friendly waitress, We get flavorful typical plates well served with good quantity in a short time.
I warmly recommend this restaurant !",positive,5,4-Oct-19,Great spot in Larissa,
The pasta with broccoli and greek cheese was very tasty. The waitresses where very kind and really looked at each table when they passed to give a fast service.,positive,5,2-Oct-19,Very good pasta and service,
"Quality food and service.
The prices were okay for what you get, but truly, I had one really good plate in one of the best food environments in my life.",positive,5,4-Aug-19,Quality food,
"Akamatra has always been a ""traditional"" place for foodies in Larissa. The ambience is one of a kind, and it offers a lovely back garden for warm days. The food is always very well-cooked, with new recipes being explored each time, alongside the steady, classical...More",positive,5,13-Jun-19,Best resto in town,
"A very lovely, cosy place in the center of Larissa. Particular, interesting decoration and exotic atmosphere with a very tasty menu!!! It's one of our best choices always!!!!",positive,5,7-May-19,"cosy, lovely place!!!",
"Fantastic place, fantastic atmosphere, fantastic food. A beautiful decorated restaurant in the heart of the city, with plenty of choices in the food menu and drinks menu for everyone. Amazing flavors, nice recipes. The staff was helpful as well.",positive,4,7-May-19,Best Restaurant In Town!,
"Nice atmosphere, ethnic style of decoration and good plates! The service and the staff of the restaurant are excellent!",positive,5,13-Feb-19,Very good choice,
"It was a nice cold day when we visit Akamatra,  we have called and book for 5.  Upon arrival they greeted us well and provided the chosen seats which was at the garden.  

Food - 5/5
Staff - 5/5
Ambiance - 5/5 amazing
Temperature -...More",positive,5,9-Feb-19,Family Lunch,
A lovely meal with a lots of traditional Greek items.  The ‘sheep kebab’ was delicious - despite its incongruous title.,positive,4,18-Nov-18,Lovely Greek BBQ - much better than others tried in Larissa,
But the interior is not something  you will keep in your memories.The tastes not bad but not so interesting to visit again.Tagliata was served cold.We were six persons but not even one choise of ours was great.Service was ok.Desserts were propably bought from a close...More,negative,3,18-Nov-18,Dont know about the yard..,
"""Akamatra"" is a warm place with friendly staff and excellent food. The yard at the back side of the restaurant is very cozy. Please, do not forget to book your table before you go their. It is one of the best restaurant in Larissa and...More",positive,5,28-Aug-18,Delicious food!,
"Definitely worth eating there. the place is very well decorated, the staff was welcoming and friendly and the food was also great.",positive,4,6-Aug-18,Great atmosphere and very friendly staff,
